Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
78,0,0,0,90,59,90,144
93,0,0,0,0,78,88,144
66,0,0,0,0,42,88,141
99,264,0,0,99,49,90,142
90,198,0,0,95,47,88,144
81,141,137,0,89,71,65,141
0,0,0,0,175,64,79,144
0,0,0,0,88,74,152,144
0,0,0,0,88,88,157,141
0,0,0,0,87,93,120,145
116,0,0,0,0,102,60,144
0,0,0,225,94,123,10,144
0,0,0,0,84,0,69,145
0,0,0,0,0,0,86,145
0,0,0,0,0,0,88,145
130,0,0,0,94,0,88,143
106,0,0,0,0,0,100,143
0,0,0,0,0,0,98,142
0,0,0,0,0,0,89,143
0,0,0,0,87,0,89,143
0,0,0,0,0,0,89,143
0,0,0,0,0,0,91,143
185,0,0,0,0,0,79,143
97,100,0,0,0,120,10,140
0,108,97,0,0,0,12,143
66,128,0,0,92,74,12,143
55,47,0,0,35,53,86,141
0,28,0,0,89,28,78,143
0,0,0,0,93,0,92,140
109,0,0,0,88,0,89,144
83,110,0,0,0,67,91,141
104,112,0,0,96,43,91,144
72,106,0,0,91,122,89,141
93,111,0,0,0,44,89,140
55,112,0,0,94,37,90,144
93,114,239,0,97,41,76,144
113,184,179,0,83,60,53,143
132,132,133,0,86,117,12,140
96,109,0,0,89,106,7,139
80,102,0,0,93,92,7,136
142,126,0,0,115,79,4,137
104,0,0,0,0,140,88,136
0,0,0,0,0,81,111,139
0,0,0,0,0,89,109,139
0,0,0,0,0,0,89,140
0,0,0,0,0,0,90,141
0,101,0,0,0,0,89,140
0,0,0,0,0,0,89,141
0,0,0,0,0,0,91,142
0,0,0,0,0,0,89,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,90,141
0,0,0,0,0,0,90,141
0,179,203,0,0,0,87,142
154,129,121,0,0,0,19,141
53,129,0,0,98,83,65,141
49,0,0,0,122,63,87,140
48,113,0,0,88,44,44,141
75,0,0,0,87,45,89,141
102,0,0,0,93,36,89,142
117,227,0,0,92,60,87,141
102,159,0,0,87,78,104,141
102,104,103,0,92,82,53,139
0,0,0,0,198,77,63,141
0,0,0,0,95,83,174,141
0,0,0,0,97,86,161,141
0,0,0,0,0,85,89,140
107,0,0,0,90,86,89,140
